objectid,parentid,title,architect,credits,credits_before,credits_after,caption_before,caption_after,date_construction,date_destruction,description,subjects,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,caption,notes,region,image_alt_text,object_transcript
obj_001,,Railway Station,V. M. Syromyatnikov,pastvu.com,pastvu.com,Serhii Leshchenko,Kostyantynivka Railway station in 1949,Ruins of Kostyantynivka Railway station,1949,2024-02-25,"The railway station was an example of decorated neoclassical architecture. The two-story building had a symmetrical plan, with the facade decorated with massive arched windows and a large pediment. Later, the station in the city of Kramatorsk was built to the same plan. The station building was significantly damaged by a missile attack, and the possibility of its restoration is unknown.",transport,Костянтинівка / Kostyantynivka,48.51212,37.729851,,kostyantynivka_railway_pastvu,record,,,,,multiple,/objects/kostyantynivka_railway_pastvu.jpg,/objects/small/kostyantynivka_railway_pastvu_sm.jpg,/objects/thumbs/kostyantynivka_railway_pastvu_th.jpg,,in ruins,Donetsk oblast,,
obj_004,,Tarnovsky House (Youth Library),,Semen Shyrochyn,Semen Shyrochyn,Ministry of Internal Affairs of Ukraine,Main façade of the Chernihiv youth library before the war,The damaged building of Chernihiv youth library,1900-1901,2022-03-11,"The neo-Gothic one-story building of the Tarnovsky House initially functioned as a craft school for the nearby orphanage. Since 1902 the building housed a museum of Ukrainian antiquities – one of the first and most famous in Ukraine. In 1980 the building was repurposed into the Chernihiv Regional Library for Youth. After the Russian shelling, the building was heavily damaged, but due to its status as an architectural monument it was decided to restore it.",public,Чернігів / Chernihiv,51.50236,31.325388,,chernihiv_library_semen_shyrochyn,record,,,,,multiple,/objects/chernihiv_library_semen_shyrochyn.jpg,/objects/small/chernihiv_library_semen_shyrochyn_sm.jpg,/objects/thumbs/chernihiv_library_semen_shyrochyn_th.jpg,,under restoration,Chernihiv oblast,,
obj_007,,Drama Theatre,"Olexandra Krylova, Oleg Malyshenko",Semen Shyrochyn,Semen Shyrochyn,Suspile Chernihiv,Main façade of the Chernihiv Drama theater before the war,Aerial view of the Chernihiv Drama theater after the strike,1959,2023-08-19,"The Chernihiv Drama Theatre occupies a key place in the urban ensemble of one of the main squares of Chernihiv. The facade of the neoclassical building is decorated with many sculptures, and the building itself was built according to a design that was used in several cities in Ukraine. Since the rocket exploded above the building, its walls were not seriously damaged.",public,Чернігів / Chernihiv,51.491369,31.299368,,chernihiv_theatre_semen_shyrochyn,record,,,,,multiple,/objects/chernihiv_theatre_semen_shyrochyn.jpg,/objects/small/chernihiv_theatre_semen_shyrochyn_sm.jpg,/objects/thumbs/chernihiv_theatre_semen_shyrochyn_th.jpg,,restoration announced,Chernihiv oblast,,
obj_010,,House of Officers,Joseph Karakis,Semen Shyrochyn,Semen Shyrochyn,president.gov.ua,"Main façade of the House of Officers, 2008",Aerial view of the House of Officers after the strike,1940,2022-07-14,"The neoclassical Officers' House in Vinnytsia occupies an important place in the ensemble of the surrounding streets and terminates the perspective of Vinnytsia’s Kotsyubinsky Avenue. The building was already damaged during the Second World War, after which it was restored. In 2022, it was damaged again. Despite the fact that the building has been an architectural monument since 1997, local authorities initially did not want to restore it, wanting to build a shopping mall instead. Only a scandal involving the urban conservation community forced them to change their plans.",public,Вінниця / Vynnitsya,49.238981,28.492331,,vynnitsya_semen_shyrochyn,record,,,,,multiple,/objects/vynnitsya_semen_shyrochyn.jpg,/objects/small/vynnitsya_semen_shyrochyn_sm.jpg,/objects/thumbs/vynnitsya_semen_shyrochyn_th.jpg,,restoration announced,Vinnytsia oblast,,
obj_013,,Bus Station,Volodymyr Vesnin,dp.informator.ua,dp.informator.ua,Mykola Synelnykov (REUTERS),Aerial view of the Bus station before the attack,Ruins of the Bus Station on the Day of attack,1993,2023-08-24,"The Dnipro Bus Station is an example of late modernism in Ukrainian architecture. In terms of design, it is the most complex bus station in all of Ukraine. The building had two levels of bus terminals, many administrative offices, and a hotel. The building was damaged by Russian shelling. Due to its young age, its architectural value is not publicly recognized, and it is unknown whether it will be restored.",transport,Дніпро / Dnipro,48.474068,35.008729,,dnipro_bus_station_dp_informator_ua,record,,,,,multiple,/objects/dnipro_bus_station_dp_informator_ua.jpg,/objects/small/dnipro_bus_station_dp_informator_ua_sm.jpg,/objects/thumbs/dnipro_bus_station_dp_informator_ua_th.jpg,,in ruins,Dnipropetrovsk oblast,,
obj_016,,Ice Sports Palace,"M. A. Aistov, Yu. A. Regentov, S. N. Badmaeva",Olexandr Yakubenko,Olexandr Yakubenko,vchaspik.ua,Ice Sports palace before the war,Ruins of Ice Sports Palace,1970-1975,2022-06-01,"The Severodonetsk Ice Sports Palace was one of the largest structures of its kind in the USSR, accommodating up to 5,000 spectators. The building was multifunctional: it could be used as a sports arena, a concert hall, a cinema, and a congress palace. The various functions of the building were depicted in several mosaics decorating the corners of the façade. As a result of Russian shelling, the structures supporting the roof of the hall were damaged and the building collapsed.",sports,Сєвєродонецьк / Severodonetsk,48.936931,38.499983,,severodonetsk_ice_palace(olexandr_yakubenko),record,,,,,multiple,/objects/severodonetsk_ice_palace(olexandr_yakubenko).jpg,/objects/small/severodonetsk_ice_palace(olexandr_yakubenko)_sm.jpg,/objects/thumbs/severodonetsk_ice_palace(olexandr_yakubenko)_th.jpg,,in ruins,Luhansk oblast,,
obj_019,,Joseph Lev House on Zhylianska Street,,Semen Shyrochyn,Semen Shyrochyn,sviydim.media,Josehp Lev house before the war,Joseph Lev house in ruins,1899-1900,2022-10-17,"This residential building on Zhylianska Street was built by the Jewish merchant Joseph Lev. The building's architecture is based on the popular brick style of the turn of the 19th and 20th centuries. This building was the first historical building in Kyiv to be damaged as a result of the Russian attack. Despite a petition from city residents for a restoration, city authorities are unwilling to restore it.",residential,Київ / Kyiv,50.441661,30.496472,,kyiv_zhylianska_semen_shyrochyn,record,,,,,multiple,/objects/kyiv_zhylianska_semen_shyrochyn.jpg,/objects/small/kyiv_zhylianska_semen_shyrochyn_sm.jpg,/objects/thumbs/kyiv_zhylianska_semen_shyrochyn_th.jpg,,in ruins,Kyiv,,
obj_022,,Zaporozhstal Factory House,"Volodymyr Pohorelov, Esfir Belman",Semen Shyrochyn,Semen Shyrochyn,zprz.city,Zaporozhstal factory house before the war,Zaporozhstal factory house on the day of attack,1955,2022-10-06,"The residential building of the Zaporizhstal plant is one of the key elements of the architectural ensemble of Soborny Avenue. Its facade is faced with ceramic tiles and richly decorated with architectural elements recalling the Renaissance. The restoration of the building after the Russian missile strike became a unique example of careful treatment of architectural monuments. During the ongoing reconstruction, the technology for ceramic tiles and decoration production has been used for the first time since the 1950s to recreate the lost decorations.",residential,Запоріжжя / Zaporizhzhia,47.845622,35.126502,,zaporizhzhia_151_semen_shyrochyn,record,,,,,multiple,/objects/zaporizhzhia_151_semen_shyrochyn.jpg,/objects/small/zaporizhzhia_151_semen_shyrochyn_sm.jpg,/objects/thumbs/zaporizhzhia_151_semen_shyrochyn_th.jpg,,under restoration,Zaporizhzhia oblast,,
obj_025,,Kahovska Power Plant,Georgy Orlov,uhe.gov.ua,uhe.gov.ua,news.obozrevatel.com,Aerial view of the Kahovska power plant machine hall before the war,Ruins of the demolished Kahovska power plant,1952-1955,2023-06-06,"The machine hall of the Kakhovka hydroelectric power station was incredibly exquisite in architectural terms. Its façade featured Renaissance-revival architectural techniques, while the round porthole windows referred to both the Bauhaus and the rose windows of the Gothic era. As a result of the blowing up of the hydroelectric power station by Russian troops, the machine hall fell apart into several pieces and cannot be restored.",industry,Нова Каховка / Nova Kakhovka,46.773782,33.373997,,kahovka_ges_uhe_gov_ua,record,,,,,multiple,/objects/kahovka_ges_uhe_gov_ua.jpg,/objects/small/kahovka_ges_uhe_gov_ua_sm.jpg,/objects/thumbs/kahovka_ges_uhe_gov_ua_th.jpg,,in ruins,Kherson oblast,,
obj_028,,DniproHES Machine Hall,Viktor Vesnin,Oleksandr Malyon,Oleksandr Malyon,president.gov.ua,DniproHES machine hall before the war,Inside the ruined DniproHES machine hall,1930-1932,2023-02-10,"The Dnieper Hydroelectric Power Plant's turbine hall was an interesting example of Soviet Constructivist architecture which recalls the modernism of the Bauhaus School. The building was faced with Armenian tuff. Many of the original design elements were preserved here, and the turbine hall was planned to be nominated for UNESCO World Heritage Site status.",industry,Запоріжжя / Zaporizhzhia,47.869194,35.081624,,zaporizhzhia_dnoproges_oleksandr_malyon,record,,,,,multiple,/objects/zaporizhzhia_dnoproges_oleksandr_malyon.jpg,/objects/small/zaporizhzhia_dnoproges_oleksandr_malyon_sm.jpg,/objects/thumbs/zaporizhzhia_dnoproges_oleksandr_malyon_th.jpg,,in ruins,Zaporizhzhia oblast,,
