title,description,subsection,location,latitude,longitude,source,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Railway Station","The railway station was an example of decorated neoclassical architecture. The two-story building had a symmetrical plan, with the facade decorated with massive arched windows and a large pediment. Later, the station in the city of Kramatorsk was built to the same plan. The station building was significantly damaged by a missile attack, and the possibility of its restoration is unknown.","transport","Костянтинівка / Kostyantynivka","48.51212","37.729851","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kostyantynivka_railway_pastvu_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kostyantynivka_railway_pastvu.jpg",/items/obj_001.html
"Tarnovsky House (Youth Library)","The neo-Gothic one-story building of the Tarnovsky House initially functioned as a craft school for the nearby orphanage. Since 1902 the building housed a museum of Ukrainian antiquities – one of the first and most famous in Ukraine. In 1980 the building was repurposed into the Chernihiv Regional Library for Youth. After the Russian shelling, the building was heavily damaged, but due to its status as an architectural monument it was decided to restore it.","public","Чернігів / Chernihiv","51.50236","31.325388","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/chernihiv_library_semen_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/chernihiv_library_semen_shyrochyn.jpg",/items/obj_004.html
"Drama Theatre","The Chernihiv Drama Theatre occupies a key place in the urban ensemble of one of the main squares of Chernihiv. The facade of the neoclassical building is decorated with many sculptures, and the building itself was built according to a design that was used in several cities in Ukraine. Since the rocket exploded above the building, its walls were not seriously damaged.","public","Чернігів / Chernihiv","51.491369","31.299368","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/chernihiv_theatre_semen_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/chernihiv_theatre_semen_shyrochyn.jpg",/items/obj_007.html
"House of Officers","The neoclassical Officers&#39; House in Vinnytsia occupies an important place in the ensemble of the surrounding streets and terminates the perspective of Vinnytsia’s Kotsyubinsky Avenue. The building was already damaged during the Second World War, after which it was restored. In 2022, it was damaged again. Despite the fact that the building has been an architectural monument since 1997, local authorities initially did not want to restore it, wanting to build a shopping mall instead. Only a scandal involving the urban conservation community forced them to change their plans.","public","Вінниця / Vynnitsya","49.238981","28.492331","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/vynnitsya_semen_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/vynnitsya_semen_shyrochyn.jpg",/items/obj_010.html
"Bus Station","The Dnipro Bus Station is an example of late modernism in Ukrainian architecture. In terms of design, it is the most complex bus station in all of Ukraine. The building had two levels of bus terminals, many administrative offices, and a hotel. The building was damaged by Russian shelling. Due to its young age, its architectural value is not publicly recognized, and it is unknown whether it will be restored.","transport","Дніпро / Dnipro","48.474068","35.008729","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/dnipro_bus_station_dp_informator_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/dnipro_bus_station_dp_informator_ua.jpg",/items/obj_013.html
"Ice Sports Palace","The Severodonetsk Ice Sports Palace was one of the largest structures of its kind in the USSR, accommodating up to 5,000 spectators. The building was multifunctional: it could be used as a sports arena, a concert hall, a cinema, and a congress palace. The various functions of the building were depicted in several mosaics decorating the corners of the façade. As a result of Russian shelling, the structures supporting the roof of the hall were damaged and the building collapsed.","sports","Сєвєродонецьк / Severodonetsk","48.936931","38.499983","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/severodonetsk_ice_palace(olexandr_yakubenko)_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/severodonetsk_ice_palace(olexandr_yakubenko).jpg",/items/obj_016.html
"Joseph Lev House on Zhylianska Street","This residential building on Zhylianska Street was built by the Jewish merchant Joseph Lev. The building&#39;s architecture is based on the popular brick style of the turn of the 19th and 20th centuries. This building was the first historical building in Kyiv to be damaged as a result of the Russian attack. Despite a petition from city residents for a restoration, city authorities are unwilling to restore it.","residential","Київ / Kyiv","50.441661","30.496472","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kyiv_zhylianska_semen_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kyiv_zhylianska_semen_shyrochyn.jpg",/items/obj_019.html
"Zaporozhstal Factory House","The residential building of the Zaporizhstal plant is one of the key elements of the architectural ensemble of Soborny Avenue. Its facade is faced with ceramic tiles and richly decorated with architectural elements recalling the Renaissance. The restoration of the building after the Russian missile strike became a unique example of careful treatment of architectural monuments. To recreate the lost decorations, the technology for ceramic tiles and decoration production was used for the first time since the 1950s.","residential","Запоріжжя / Zaporizhzhia","47.845622","35.126502","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zaporizhzhia_151_semen_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zaporizhzhia_151_semen_shyrochyn.jpg",/items/obj_022.html
"Kahovska Power Plant","The machine hall of the Kakhovka hydroelectric power station was incredibly exquisite in architectural terms. Its façade featured Renaissance-revival architectural techniques, while the round porthole windows referred to both the Bauhaus and the rose windows of the Gothic era. As a result of the blowing up of the hydroelectric power station by Russian troops, the machine hall fell apart into several pieces and cannot be restored.","industry","Нова Каховка / Nova Kakhovka","46.773782","33.373997","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kahovka_ges_uhe_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kahovka_ges_uhe_gov_ua.jpg",/items/obj_025.html
"DniproHES Machine Hall","The Dnieper Hydroelectric Power Plant&#39;s turbine hall was an interesting example of Soviet Constructivist architecture which recalls the modernism of the Bauhaus School. The building was faced with Armenian tuff. Many of the original design elements were preserved here, and the turbine hall was planned to be nominated for UNESCO World Heritage Site status.","industry","Запоріжжя / Zaporizhzhia","47.869194","35.081624","","record","","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zaporizhzhia_dnoproges_oleksandr_malyon_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zaporizhzhia_dnoproges_oleksandr_malyon.jpg",/items/obj_028.html
